seccion;Nombre;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Población
2807910147;Madrid;44.9;14.6;23.1;1509
2807910154;Madrid;46.2;14.7;28.7;797
2807910174;Madrid;48.0;14.1;32.2;958
2807910175;Madrid;47.5;14.0;32.3;829
2807910192;Madrid;48.7;11.7;30.0;1681
2807910194;Madrid;46.8;14.8;29.9;925
2807910198;Madrid;46.3;13.7;24.3;1973
2807910217;Madrid;46.8;15.2;24.3;917
2807910219;Madrid;42.6;14.5;10.7;1432
2807910021;Madrid;46.2;13.0;24.5;1285
2807910022;Madrid;40.7;15.3;14.3;1021
2807910028;Madrid;42.8;15.8;18.6;1260
2807910046;Madrid;46.0;14.6;23.6;1290
2807910047;Madrid;42.5;16.5;18.3;960
2807910048;Madrid;43.1;15.4;18.7;1265
2807910058;Madrid;44.9;12.5;22.4;1035
2807910067;Madrid;49.5;11.4;30.6;911
2807910068;Madrid;47.4;12.1;29.4;821
2807910069;Madrid;45.5;12.6;22.9;1341
2807910073;Madrid;44.6;15.9;23.5;1155
2807910076;Madrid;49.6;13.2;30.4;933
2807910078;Madrid;49.0;12.3;27.5;1081
2807910087;Madrid;52.8;7.8;37.1;935
2807910093;Madrid;48.1;13.3;28.7;877
2807910098;Madrid;47.1;12.7;28.3;1076
2807910103;Madrid;47.3;14.1;28.7;1111
2807910108;Madrid;51.6;11.7;38.5;794
2807910121;Madrid;51.7;10.7;37.2;1179
2807910149;Madrid;43.0;14.6;21.0;1042
2807910152;Madrid;46.6;15.6;25.4;794
2807910157;Madrid;55.2;11.2;43.1;731
2807910165;Madrid;44.9;14.1;24.6;1153
2807910168;Madrid;47.3;14.1;30.1;1318
2807910170;Madrid;46.2;13.0;25.0;1145
2807910172;Madrid;46.0;16.0;27.7;736
2807910179;Madrid;51.3;12.2;35.4;1106
2807910183;Madrid;48.5;12.9;30.9;1006
2807910187;Madrid;45.7;15.4;22.5;1262
2807910199;Madrid;52.3;10.7;38.4;1547
2807910206;Madrid;46.5;14.3;23.8;1263
2807910211;Madrid;50.1;8.3;31.9;1006
2807910007;Madrid;41.9;18.0;17.5;1260
2807910020;Madrid;46.8;14.9;24.7;835
2807910026;Madrid;47.0;11.6;23.0;900
2807910027;Madrid;46.1;10.3;21.1;1151
2807910036;Madrid;46.8;11.5;23.4;1452
2807910037;Madrid;42.8;14.3;18.1;1627
2807910040;Madrid;42.0;17.4;16.6;897
2807910042;Madrid;45.3;12.8;20.0;1283
2807910044;Madrid;49.6;9.6;29.7;815
2807910049;Madrid;43.9;13.8;20.1;1199
2807910054;Madrid;49.4;11.5;31.0;1283
2807910062;Madrid;43.8;15.2;20.0;840
2807910084;Madrid;42.4;16.1;18.5;2074
2807910095;Madrid;47.3;13.2;28.9;1198
2807910115;Madrid;46.0;13.9;24.5;1140
2807910119;Madrid;49.8;9.9;31.3;1548
2807910128;Madrid;46.8;14.6;27.0;1281
2807910129;Madrid;56.2;7.0;43.1;603
2807910132;Madrid;49.1;12.7;30.2;871
2807910148;Madrid;41.5;16.5;17.4;1427
2807910150;Madrid;44.5;14.1;22.7;846
