seccion;municipio;Renta neta media por persona
2804001003;Ciempozuelos;11305
2804002001;Ciempozuelos;8946
2804002002;Ciempozuelos;9276
2804002003;Ciempozuelos;9312
2804002004;Ciempozuelos;10951
2804002005;Ciempozuelos;10835
2804002006;Ciempozuelos;10251
2804003001;Ciempozuelos;9966
2804003002;Ciempozuelos;9808
2804101001;Cobeña;14787
2804101002;Cobeña;17101
2804101003;Cobeña;14173
2804601001;Collado Mediano;14709
2804601002;Collado Mediano;12942
2804601003;Collado Mediano;12087
2804601004;Collado Mediano;16682
2804701001;Collado Villalba;11563
2804701002;Collado Villalba;7991
2804701003;Collado Villalba;14776
2804701004;Collado Villalba;9573
2804701005;Collado Villalba;10235
2804701006;Collado Villalba;7917
2804701007;Collado Villalba;11345
2804701008;Collado Villalba;12461
2804701009;Collado Villalba;11446
2804701010;Collado Villalba;9129
2804701011;Collado Villalba;11401
2804701012;Collado Villalba;7633
2804701013;Collado Villalba;10593
2804701014;Collado Villalba;10943
2804701015;Collado Villalba;7867
2804701016;Collado Villalba;11070
2804701017;Collado Villalba;12990
2804701018;Collado Villalba;11035
2804701019;Collado Villalba;13632
2804701020;Collado Villalba;15813
2804701021;Collado Villalba;12820
2804701022;Collado Villalba;12386
2804701023;Collado Villalba;10580
2804701024;Collado Villalba;13485
2804701025;Collado Villalba;12317
2804701026;Collado Villalba;12693
2804701027;Collado Villalba;15470
2804701028;Collado Villalba;13100
2804701029;Collado Villalba;7869
2804701030;Collado Villalba;7814
2804701031;Collado Villalba;17332
2804301001;Colmenar de Oreja;8315
2804301002;Colmenar de Oreja;8818
2804302001;Colmenar de Oreja;8866
2804302002;Colmenar de Oreja;8973
2804302003;Colmenar de Oreja;10004
2804201001;Colmenar del Arroyo;11537
2804501001;Colmenar Viejo;12375
2804501002;Colmenar Viejo;11967
2804501003;Colmenar Viejo;9278
2804501004;Colmenar Viejo;10592
2804501005;Colmenar Viejo;12089
2804501006;Colmenar Viejo;10769
2804501007;Colmenar Viejo;9636
2804501008;Colmenar Viejo;14006
2804501009;Colmenar Viejo;9484
2804501010;Colmenar Viejo;9953
2804501011;Colmenar Viejo;16634
2804501012;Colmenar Viejo;15075
2804501013;Colmenar Viejo;14674
2804501014;Colmenar Viejo;10047
2804501015;Colmenar Viejo;12344
2804501016;Colmenar Viejo;17301
2804501017;Colmenar Viejo;13081
2804501018;Colmenar Viejo;14747
2804501019;Colmenar Viejo;16080
2804501020;Colmenar Viejo;15218
2804501021;Colmenar Viejo;20643
2804501022;Colmenar Viejo;18386
2804501023;Colmenar Viejo;16774
2804501024;Colmenar Viejo;14381
2804401001;Colmenarejo;10877
2804401002;Colmenarejo;12491
2804401003;Colmenarejo;11509
2804401004;Colmenarejo;14057
2804801001;Corpa;10189
2804901001;Coslada;9280
2804901002;Coslada;11445
2804901003;Coslada;9377
2804901004;Coslada;9886
2804901005;Coslada;10190
2804901006;Coslada;10929
2804901007;Coslada;11314
2804901008;Coslada;8769
2804901009;Coslada;8767
2804901010;Coslada;8644
2804901011;Coslada;8913
2804901012;Coslada;0
2804901013;Coslada;9364
2804901014;Coslada;9378
2804901015;Coslada;9597
2804901016;Coslada;10648
2804901017;Coslada;13966
2804901018;Coslada;18855
2804901019;Coslada;14619
2804901020;Coslada;12351
2804901021;Coslada;14190
2804901022;Coslada;17652
2804901023;Coslada;12707
2804901024;Coslada;14368
2804902001;Coslada;12933
2804902002;Coslada;11298
2804902003;Coslada;10749
2804902004;Coslada;10763
2804902005;Coslada;13226
2804902006;Coslada;14685
2804902007;Coslada;10136
2804902008;Coslada;9951
2804902009;Coslada;10710
2804902010;Coslada;9645
2804902011;Coslada;9529
2804902012;Coslada;9326
2804902013;Coslada;9549
2804902014;Coslada;10445
2804902015;Coslada;11232
2804902016;Coslada;11167
2804902017;Coslada;13259
2804902018;Coslada;18289
2804902019;Coslada;18477
2804902020;Coslada;19549
2804902021;Coslada;12201
2804903001;Coslada;12328
2804903002;Coslada;10437
2804903003;Coslada;13585
2804903004;Coslada;13933
2804903005;Coslada;13063
2804903006;Coslada;13548
2804903007;Coslada;12820
2804903008;Coslada;10265
2804903009;Coslada;8768
2804904002;Coslada;9868
2804904001;Coslada;0
2805001001;Cubas de la Sagra;11318
2805001002;Cubas de la Sagra;10160
2805001003;Cubas de la Sagra;11167
2805301001;Daganzo de Arriba;12213
2805301002;Daganzo de Arriba;14001
2805301003;Daganzo de Arriba;13847
2805301004;Daganzo de Arriba;12712
2805401001;Escorial, El;10860
2805401002;Escorial, El;10310
2805401003;Escorial, El;14464
2805401004;Escorial, El;15033
2805402001;Escorial, El;14072
2805402002;Escorial, El;15858
2805402003;Escorial, El;16476
2805402004;Escorial, El;15740
2805402005;Escorial, El;13802
2805501001;Estremera;9288
2805601001;Fresnedillas de la Oliva;8904
2805701001;Fresno de Torote;11606
2805801002;Fuenlabrada;8910
2805801003;Fuenlabrada;9022
2805801004;Fuenlabrada;9811
2805801005;Fuenlabrada;9584
2805801006;Fuenlabrada;8473
2805801007;Fuenlabrada;8783
2805802001;Fuenlabrada;10264
2805802002;Fuenlabrada;10153
2805802003;Fuenlabrada;9269
2805802004;Fuenlabrada;11025
2805802005;Fuenlabrada;10076
2805802006;Fuenlabrada;9651
2805802007;Fuenlabrada;8700
2805802008;Fuenlabrada;8298
2805802009;Fuenlabrada;10174
2805802010;Fuenlabrada;10833
2805802011;Fuenlabrada;9814
2805802012;Fuenlabrada;8899
2805802013;Fuenlabrada;10868
2805802014;Fuenlabrada;10912
2805802015;Fuenlabrada;9809
2805802016;Fuenlabrada;9285
2805802017;Fuenlabrada;11174
2805803001;Fuenlabrada;9270
2805803002;Fuenlabrada;10495
2805803003;Fuenlabrada;7980
2805803004;Fuenlabrada;8423
2805803005;Fuenlabrada;9194
2805803006;Fuenlabrada;9390
2805803007;Fuenlabrada;7924
2805803008;Fuenlabrada;10822
2805803009;Fuenlabrada;10046
2805803010;Fuenlabrada;10686
2805804001;Fuenlabrada;7691
2805804002;Fuenlabrada;8304
2805804003;Fuenlabrada;9861
2805804004;Fuenlabrada;9261
2805804005;Fuenlabrada;8942
2805804006;Fuenlabrada;9235
2805804007;Fuenlabrada;10398
2805804008;Fuenlabrada;9654
2805804009;Fuenlabrada;8566
2805804010;Fuenlabrada;8466
2805804011;Fuenlabrada;8764
2805804012;Fuenlabrada;7146
2805804013;Fuenlabrada;9403
2805804014;Fuenlabrada;10043
2805804015;Fuenlabrada;11035
2805804016;Fuenlabrada;10990
2805805001;Fuenlabrada;10361
2805805002;Fuenlabrada;9754
2805805003;Fuenlabrada;9579
2805805004;Fuenlabrada;11139
2805805005;Fuenlabrada;8064
2805805006;Fuenlabrada;9290
2805806001;Fuenlabrada;10710
2805806002;Fuenlabrada;10704
2805806003;Fuenlabrada;10441
2805806004;Fuenlabrada;10433
2805806005;Fuenlabrada;9560
2805806006;Fuenlabrada;10810
2805806007;Fuenlabrada;10370
2805806008;Fuenlabrada;10323
2805806009;Fuenlabrada;9552
2805806010;Fuenlabrada;9791
2805806011;Fuenlabrada;9635
2805806012;Fuenlabrada;9772
2805806013;Fuenlabrada;8953
2805806014;Fuenlabrada;11296
2805806015;Fuenlabrada;11040
2805806016;Fuenlabrada;12313
2805806017;Fuenlabrada;10108
2805806018;Fuenlabrada;11567
2805806019;Fuenlabrada;12242
2805807001;Fuenlabrada;8144
2805807002;Fuenlabrada;9863
2805807003;Fuenlabrada;10549
2805807004;Fuenlabrada;9685
2805807005;Fuenlabrada;10289
2805807006;Fuenlabrada;10121
2805807007;Fuenlabrada;14743
2805807008;Fuenlabrada;10823
2805807009;Fuenlabrada;9643
2805807010;Fuenlabrada;10974
2805807011;Fuenlabrada;10821
2805807012;Fuenlabrada;9616
2805807013;Fuenlabrada;9003
2805807014;Fuenlabrada;11368
2805807015;Fuenlabrada;13921
2805807016;Fuenlabrada;14088
2805808001;Fuenlabrada;11876
2805808002;Fuenlabrada;9872
2805808003;Fuenlabrada;9552
2805808004;Fuenlabrada;10274
2805808005;Fuenlabrada;8856
2805808006;Fuenlabrada;9819
2805808007;Fuenlabrada;9583
2805808008;Fuenlabrada;10012
2805808009;Fuenlabrada;9240
2805808010;Fuenlabrada;9434
2805808011;Fuenlabrada;10234
2805808012;Fuenlabrada;10191
2805808013;Fuenlabrada;10110
2805808014;Fuenlabrada;9100
2805808015;Fuenlabrada;11133
2805808016;Fuenlabrada;13803
2805809001;Fuenlabrada;9759
2805809002;Fuenlabrada;9777
2805809003;Fuenlabrada;9257
2805809004;Fuenlabrada;10167
2805809005;Fuenlabrada;10580
2805809006;Fuenlabrada;11481
2805809007;Fuenlabrada;9045
2805809008;Fuenlabrada;9866
2805809009;Fuenlabrada;8985
2805809010;Fuenlabrada;9925
2805809011;Fuenlabrada;10228
2805809012;Fuenlabrada;11905
2805901001;Fuente el Saz de Jarama;10726
2805901002;Fuente el Saz de Jarama;14696
2805901003;Fuente el Saz de Jarama;10118
2806001001;Fuentidueña de Tajo;9179
2806101001;Galapagar;11382
2806101002;Galapagar;10790
2806101003;Galapagar;11188
2806101004;Galapagar;9687
2806101005;Galapagar;14305
2806101006;Galapagar;16478
2806101007;Galapagar;16908
2806101008;Galapagar;19610
2806101009;Galapagar;14870
2806101010;Galapagar;16374
2806101011;Galapagar;8631
2806101012;Galapagar;14096
2806101013;Galapagar;13860
